Taxa,/N/dc2/scratch/hleffler/kraken_report/SRR9649760_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649757_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649758_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649759_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649755_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649754_kraken_report, /N/dc2/scratch/hleffler/kraken_report/SRR9649756_kraken_report
Lelliottia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pluralibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Atlantibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Raoultella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gibbsiella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Shigella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Riesia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Izhakiella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Shimwellia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Buttiauxella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Ishikawaella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Kluyvera,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Limnobaculum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Moranella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Metakosakonia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Serratia,  0.02,   0.03,   0.02,   0.02,   0.03,   0.04,   0.02
Yersinia,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Rahnella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Nissabacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Chania,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Fukatsuia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Dickeya,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Pectobacterium,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Brenneria,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sodalis,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Lonsdalea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pantoea,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Erwinia,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Buchnera,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Tatumella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mixta,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Wigglesworthia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Providencia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Xenorhabdus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Proteus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Photorhabdus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Arsenophonus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Morganella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Edwardsiella,  0.01,   0.01,   0.01,   0.00,   0.01,   0.01,   0.01
Hafnia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Obesumbacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Plesiomonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Phytobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pragia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Leminorella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Stenotrophomonas,  0.03,   0.06,   0.02,   0.02,   0.04,   0.07,   0.03
Xanthomonas,  0.02,   0.05,   0.02,   0.02,   0.03,   0.06,   0.03
Lysobacter,  0.02,   0.04,   0.02,   0.02,   0.03,   0.05,   0.02
Luteimonas,  0.01,   0.02,   0.01,   0.01,   0.01,   0.03,   0.01
Thermomonas,  0.01,   0.00,   0.00,   0.01,   0.00,   0.00,   0.00
Pseudoxanthomonas,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Arenimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Xylella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Dyella,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Rhodanobacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Luteibacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Dokdonella,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Ahniella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Frateuria,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Marinobacter,  0.02,   0.04,   0.02,   0.02,   0.02,   0.03,   0.02
Alteromonas,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Salinimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Glaciecola,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Catenovulum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Lacimicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Paraglaciecola,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Agarivorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Shewanella,  0.02,   0.03,   0.03,   0.02,   0.03,   0.03,   0.03
Parashewanella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudoalteromonas,  0.02,   0.02,   0.02,   0.02,   0.01,   0.01,   0.01
Colwellia,  0.00,   0.00,   0.00,   0.01,   0.00,   0.00,   0.00
Thalassotalea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Litorilituus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Idiomarina,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Psychromonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ferrimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Moritella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thiodictyon,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Nitrosococcus,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Thiocystis,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Thioflavicoccus,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Marichromatium,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Allochromatium,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Rheinheimera,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Nitrosoglobus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thioalkalivibrio,  0.01,   0.03,   0.01,   0.01,   0.02,   0.03,   0.01
Acidihalobacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Ectothiorhodospira,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Spiribacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Halorhodospira,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Alkalilimnicola,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Sulfuriflexus,  0.01,   0.01,   0.01,   0.00,   0.01,   0.00,   0.00
Granulosicoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thiohalobacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Wenzhouxiangella,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Sulfurivermis,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Halothiobacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Woeseia,  0.00,   0.01,   0.00,   0.00,   0.00,   0.02,   0.00
Halomonas,  0.02,   0.06,   0.02,   0.02,   0.04,   0.06,   0.03
Kushneria,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Chromohalobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Cobetia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Halotalea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Salinicola,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pistricoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Zymobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Portiera,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Evansia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Carsonella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Alcanivorax,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Ketobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Marinomonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Marinobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Oleispira,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thalassolituus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Bacterioplanes,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gynuella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Reinekea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Saccharospirillum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Hahella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Kangiella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Endozoicomonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Oleiphilus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Vibrio,  0.03,   0.04,   0.03,   0.03,   0.03,   0.03,   0.03
Aliivibrio,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Photobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Salinivibrio,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Paraphotobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Grimontia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Enterovibrio,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aeromonas,  0.02,   0.04,   0.02,   0.02,   0.03,   0.05,   0.03
Zobellella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Oceanisphaera,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Oceanimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Tolumonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Methylomicrobium,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Methylomonas,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Methylocaldum,  0.01,   0.01,   0.01,   0.01,   0.00,   0.01,   0.01
Methylococcus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Methylovulum,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Hydrogenovibrio,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Methylophaga,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thiomicrorhabdus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Piscirickettsia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thiomicrospira,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Cycloclasticus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Francisella,  0.01,   0.00,   0.01,   0.01,   0.00,   0.00,   0.01
Allofrancisella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thioploca,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Beggiatoa,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Legionella,  0.01,   0.02,   0.02,   0.01,   0.01,   0.01,   0.01
Tatlockia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Fluoribacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aquicella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Coxiella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rickettsiella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Cellvibrio,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Simiduia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Agarilytica,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Teredinibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Saccharophagus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Microbulbifer,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Halioglobus,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Congregibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Oceanicoccus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Spongiibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Zhongshania,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sedimenticola,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Candidatus Ruthia,  0.00,   0.07,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Thioglobus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.00,   0.00
Thiolapillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudohongiella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gallaecimonas,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Nardonella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Haemophilus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mannheimia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pasteurella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Actinobacillus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Aggregatibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Glaesserella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Gallibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Bibersteinia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Avibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Basfia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Histophilus,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sulfuricaulis,  0.01,   0.01,   0.01,   0.01,   0.00,   0.01,   0.01
Sulfurifustis,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Acidiferrobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Solimonas,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Steroidobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Immundisolibacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Gilliamella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Frischella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Salinisphaera,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Cardiobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Dichelobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Bradyrhizobium,  0.06,   0.19,   0.05,   0.05,   0.10,   0.23,   0.06
Rhodopseudomonas,  0.01,   0.04,   0.01,   0.01,   0.02,   0.05,   0.01
Bosea,  0.01,   0.04,   0.01,   0.01,   0.02,   0.05,   0.01
Variibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Tardiphaga,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Nitrobacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Oligotropha,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Afipia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Rhizobium,  0.04,   0.10,   0.04,   0.04,   0.06,   0.11,   0.04
Agrobacterium,  0.01,   0.03,   0.01,   0.01,   0.02,   0.03,   0.02
Neorhizobium,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Sinorhizobium,  0.02,   0.05,   0.01,   0.02,   0.03,   0.06,   0.02
Ensifer,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Shinella,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Liberibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Mesorhizobium,  0.04,   0.12,   0.04,   0.03,   0.06,   0.14,   0.04
Nitratireductor,  0.01,   0.01,   0.01,   0.00,   0.01,   0.02,   0.01
Aminobacter,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Chelativorans,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Hoeflea,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Roseitalea,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Phyllobacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Methylobacterium,  0.03,   0.11,   0.03,   0.03,   0.06,   0.14,   0.04
Methylorubrum,  0.01,   0.02,   0.01,   0.01,   0.01,   0.03,   0.01
Microvirga,  0.01,   0.02,   0.00,   0.00,   0.01,   0.02,   0.00
Devosia,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Hyphomicrobium,  0.00,   0.02,   0.00,   0.00,   0.01,   0.02,   0.00
Blastochloris,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.00
Rhodomicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Rhodoplanes,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Pelagibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Maritalea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Filomicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Youhaiella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pseudolabrys,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Azorhizobium,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Starkeya,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Xanthobacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Labrys,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Methyloceanibacter,  0.00,   0.02,   0.00,   0.00,   0.01,   0.01,   0.01
Hartmannibacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Pseudorhodoplanes,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Candidatus Hodgkinia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Methylocystis,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Pleomorphomonas,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.00
Methylosinus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Terasakiella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Methylocella,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Methylovirgula,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Beijerinckia,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Martelella,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Aureimonas,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Bartonella,  0.01,   0.01,   0.01,   0.01,   0.01,   0.01,   0.01
Parvibaculum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Anderseniella,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Candidatus Phaeomarinobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Ochrobactrum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Brucella,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Chelatococcus,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Breoghania,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Cohaesibacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Paracoccus,  0.02,   0.06,   0.02,   0.02,   0.03,   0.06,   0.02
Rhodobacter,  0.01,   0.04,   0.01,   0.01,   0.02,   0.05,   0.01
Sulfitobacter,  0.01,   0.02,   0.01,   0.01,   0.01,   0.02,   0.01
Celeribacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.02,   0.01
Phaeobacter,  0.01,   0.01,   0.01,   0.01,   0.01,   0.02,   0.01
Labrenzia,  0.01,   0.02,   0.01,   0.00,   0.01,   0.02,   0.01
Ruegeria,  0.00,   0.01,   0.00,   0.00,   0.01,   0.01,   0.01
Rhodovulum,  0.00,   0.02,   0.00,   0.00,   0.01,   0.02,   0.00
Leisingera,  0.00,   0.02,   0.00,   0.00,   0.01,   0.02,   0.01
Yangia,  0.00,   0.01,   0.00,   0.00,   0.01,   0.02,   0.01
Roseovarius,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Octadecabacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Stappia,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Haematobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Pannonibacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Tabrizicola,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Brevirhabdus,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Ketogulonicigenium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Sedimentitalea,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Salipiger,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Marinovum,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Pelagibaca,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Sagittula,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Defluviimonas,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Epibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Silicimonas,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Dinoroseobacter,  0.00,   0.01,   0.00,   0.00,   0.00,   0.01,   0.00
Roseobacter,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Oceanicola,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Roseibacterium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.01,   0.00
Pseudovibrio,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Boseongicola,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Confluentimicrobium,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
Thioclava,  0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00
